id,date,value,unit
PG02_postgres,2024-09-06 14:01:12,0.353,GB
PG02_postgres,2024-09-07 02:01:10,0.353,GB
PG02_postgres,2024-09-07 14:01:30,0.353,GB
PG02_postgres,2024-09-08 02:01:14,0.353,GB
PG02_postgres,2024-09-08 14:01:40,0.343,GB
PG02_postgres,2024-09-09 02:01:26,0.344,GB
PG02_postgres,2024-09-09 14:01:38,0.344,GB
PG02_postgres,2024-09-10 02:01:22,0.344,GB
PG02_postgres,2024-09-10 14:01:27,0.358,GB
PG02_postgres,2024-09-11 02:01:26,0.358,GB
PG02_postgres,2024-09-11 14:01:30,0.373,GB
PG02_postgres,2024-09-12 02:01:21,0.373,GB
PG02_postgres,2024-09-12 13:01:27,0.377,GB
PG02_postgres,2024-09-13 02:01:27,0.377,GB
PG02_postgres,2024-09-13 12:24:55,0.387,GB
PG02_postgres,2024-09-13 14:01:25,0.387,GB
PG02_postgres,2024-09-14 02:01:22,0.387,GB
PG02_postgres,2024-09-14 14:01:31,0.384,GB
PG02_postgres,2024-09-15 02:01:23,0.384,GB
PG02_postgres,2024-09-15 14:01:27,0.384,GB
PG02_postgres,2024-09-16 02:01:22,0.384,GB
